subj_no,stim_cond,percept_acc,d-prime,c,beta,conf_resp,c_conf_resp,ic_conf_resp,percept_rt,conf_rt,threshold,exp_cond
16,5.0,0.6944444444444444,1.2206403488473496,-0.6103201744236748,0.47474311554475856,2.2083333333333335,2.2,2.227272727272727,470.125,100.97222222222223,3.222115514676045,noise_high
16,6.0,0.6805555555555556,1.3827904237751252,-0.9018236061354874,0.28735610554257585,2.0694444444444446,2.142857142857143,1.9130434782608696,514.2083333333334,131.76388888888889,3.222115514676045,noise_low
16,7.0,0.5694444444444444,0.4589335069923445,-0.7379548126055289,0.712716046138905,2.361111111111111,2.292682926829268,2.4516129032258065,451.2638888888889,147.65277777777777,3.222115514676045,tilt_low
16,8.0,0.8888888888888888,2.468319035177397,-0.1488346095119396,0.6925524527460123,2.25,2.265625,2.125,418.77777777777777,173.79166666666666,3.222115514676045,tilt_high
16,9.0,0.8194444444444444,1.9724499249504164,-0.3967691646254299,0.4572123619742856,2.2222222222222223,2.1864406779661016,2.3846153846153846,444.09722222222223,112.47222222222223,3.222115514676045,baseline
17,1.0,0.7916666666666666,1.6263437939605594,-0.048462223193892595,0.9242097453827636,1.9027777777777777,2.017543859649123,1.4666666666666666,814.6111111111111,453.43055555555554,3.139351153377936,size_low
17,2.0,0.75,2.200410581210034,-1.100205290605017,0.08884132523664137,2.6805555555555554,2.7222222222222223,2.5555555555555554,824.9166666666666,479.93055555555554,3.139351153377936,size_high
17,3.0,0.7638888888888888,1.5761307666868807,-0.43257496550390934,0.5057085761717487,2.3333333333333335,2.4545454545454546,1.9411764705882353,886.6666666666666,453.8611111111111,3.139351153377936,dur_low
17,4.0,0.8333333333333334,2.4229938841649137,-0.7030088829731002,0.18206596291722177,2.638888888888889,2.683333333333333,2.4166666666666665,802.2777777777778,447.2083333333333,3.139351153377936,dur_high
17,5.0,0.6527777777777778,0.8977366457832454,-0.5185532432100783,0.6278058921534214,1.1666666666666667,1.2340425531914894,1.04,1025.1527777777778,394.875,3.139351153377936,noise_high
17,6.0,0.7777777777777778,2.1249342193034817,-0.852038715403816,0.16356804096308025,2.625,2.7857142857142856,2.0625,687.9722222222222,463.31944444444446,3.139351153377936,noise_low
17,7.0,0.7083333333333334,1.2903252691658054,-0.5754777142644469,0.47589718948465887,2.5416666666666665,2.549019607843137,2.5238095238095237,718.5277777777778,412.3888888888889,3.139351153377936,tilt_low
17,8.0,0.9305555555555556,3.285735489286793,-0.5575428365666376,0.16010294171640754,3.013888888888889,3.074626865671642,2.2,570.375,407.625,3.139351153377936,tilt_high
17,9.0,0.8055555555555556,2.0239461173185074,-0.5812457593637962,0.30838382158173067,2.388888888888889,2.5172413793103448,1.8571428571428572,686.1180555555555,466.27777777777777,3.139351153377936,baseline
18,1.0,0.6666666666666666,1.080930049965488,0.6801753238646061,2.0859449099507454,2.0972222222222223,2.0625,2.1666666666666665,507.0416666666667,102.86111111111111,3.813806979575274,size_low
