subject_ID,trial_no,stim_condition,answer,percept_resp,conf_resp,correct,percept_rt,conf_rt,stim_size,stim_dur,stim_contrast,stim_tilt_diff,text_stim_condition
24,274,5,0,1,3,0,938.0,582.0,150.0,100.0,0.9,2.508190700142546,noise_high
24,275,5,0,1,2,0,820.0,411.0,150.0,100.0,0.9,2.508190700142546,noise_high
24,276,8,0,0,4,1,1536.0,438.0,150.0,100.0,0.75,5.016381400285092,tilt_high
24,277,1,1,1,1,1,870.0,613.0,75.0,100.0,0.75,2.508190700142546,size_low
24,278,2,1,0,3,0,617.0,604.0,225.0,100.0,0.75,2.508190700142546,size_high
24,279,5,0,1,2,0,606.0,264.0,150.0,100.0,0.9,2.508190700142546,noise_high
24,280,5,0,1,1,0,540.0,481.0,150.0,100.0,0.9,2.508190700142546,noise_high
24,281,6,0,0,2,1,1730.0,680.0,150.0,100.0,0.1,2.508190700142546,noise_low
24,282,3,0,1,3,0,41978.0,1393.0,150.0,33.0,0.75,2.508190700142546,dur_low
24,283,9,1,1,3,1,875.0,322.0,150.0,100.0,0.75,2.508190700142546,baseline
24,284,9,1,1,3,1,599.0,200.0,150.0,100.0,0.75,2.508190700142546,baseline
24,285,4,1,1,3,1,1746.0,259.0,150.0,500.0,0.75,2.508190700142546,dur_high
24,286,4,0,0,3,1,456.0,225.0,150.0,500.0,0.75,2.508190700142546,dur_high
24,287,7,1,0,4,0,532.0,383.0,150.0,100.0,0.75,1.254095350071273,tilt_low
24,288,8,1,1,3,1,534.0,207.0,150.0,100.0,0.75,5.016381400285092,tilt_high
24,289,7,0,1,4,0,753.0,276.0,150.0,100.0,0.75,1.254095350071273,tilt_low
24,290,8,0,0,4,1,602.0,193.0,150.0,100.0,0.75,5.016381400285092,tilt_high
24,291,1,0,1,1,0,1014.0,651.0,75.0,100.0,0.75,2.508190700142546,size_low
24,292,5,0,1,1,0,837.0,357.0,150.0,100.0,0.9,2.508190700142546,noise_high
24,293,9,1,1,3,1,619.0,344.0,150.0,100.0,0.75,2.508190700142546,baseline
24,294,9,0,1,4,0,927.0,295.0,150.0,100.0,0.75,2.508190700142546,baseline
24,295,9,1,1,4,1,607.0,264.0,150.0,100.0,0.75,2.508190700142546,baseline
24,296,5,1,1,4,1,538.0,449.0,150.0,100.0,0.9,2.508190700142546,noise_high
24,297,3,1,1,4,1,565.0,214.0,150.0,33.0,0.75,2.508190700142546,dur_low
24,298,1,0,0,2,1,559.0,429.0,75.0,100.0,0.75,2.508190700142546,size_low
24,299,6,1,1,3,1,1739.0,324.0,150.0,100.0,0.1,2.508190700142546,noise_low
24,300,4,0,0,4,1,335.0,258.0,150.0,500.0,0.75,2.508190700142546,dur_high
24,301,6,1,1,4,1,622.0,301.0,150.0,100.0,0.1,2.508190700142546,noise_low
24,302,3,0,1,4,0,1626.0,180.0,150.0,33.0,0.75,2.508190700142546,dur_low
24,303,7,0,1,4,0,835.0,365.0,150.0,100.0,0.75,1.254095350071273,tilt_low
24,304,8,0,0,4,1,840.0,383.0,150.0,100.0,0.75,5.016381400285092,tilt_high
24,305,8,1,1,3,1,818.0,296.0,150.0,100.0,0.75,5.016381400285092,tilt_high
24,306,9,0,0,4,1,578.0,216.0,150.0,100.0,0.75,2.508190700142546,baseline
24,307,3,1,1,4,1,393.0,400.0,150.0,33.0,0.75,2.508190700142546,dur_low
24,308,2,0,0,4,1,431.0,235.0,225.0,100.0,0.75,2.508190700142546,size_high
24,309,1,0,0,4,1,420.0,227.0,75.0,100.0,0.75,2.508190700142546,size_low
24,310,9,1,1,4,1,420.0,196.0,150.0,100.0,0.75,2.508190700142546,baseline
24,311,5,1,1,1,1,950.0,348.0,150.0,100.0,0.9,2.508190700142546,noise_high
24,312,8,1,1,4,1,579.0,204.0,150.0,100.0,0.75,5.016381400285092,tilt_high
24,313,7,0,1,4,0,946.0,272.0,150.0,100.0,0.75,1.254095350071273,tilt_low
24,314,9,1,1,4,1,606.0,322.0,150.0,100.0,0.75,2.508190700142546,baseline
24,315,6,0,0,4,1,882.0,234.0,150.0,100.0,0.1,2.508190700142546,noise_low
24,316,5,0,1,1,0,643.0,471.0,150.0,100.0,0.9,2.508190700142546,noise_high
24,317,4,1,1,4,1,969.0,262.0,150.0,500.0,0.75,2.508190700142546,dur_high
24,318,2,0,0,4,1,700.0,255.0,225.0,100.0,0.75,2.508190700142546,size_high
24,319,5,0,1,1,0,672.0,397.0,150.0,100.0,0.9,2.508190700142546,noise_high
24,320,6,0,1,4,0,684.0,277.0,150.0,100.0,0.1,2.508190700142546,noise_low
24,321,6,1,1,4,1,470.0,278.0,150.0,100.0,0.1,2.508190700142546,noise_low
24,322,1,0,1,1,0,799.0,372.0,75.0,100.0,0.75,2.508190700142546,size_low
24,323,4,1,1,4,1,790.0,281.0,150.0,500.0,0.75,2.508190700142546,dur_high
24,324,6,0,1,4,0,492.0,191.0,150.0,100.0,0.1,2.508190700142546,noise_low
24,325,8,1,1,4,1,477.0,315.0,150.0,100.0,0.75,5.016381400285092,tilt_high
24,326,8,1,1,4,1,589.0,204.0,150.0,100.0,0.75,5.016381400285092,tilt_high
24,327,2,1,1,4,1,380.0,203.0,225.0,100.0,0.75,2.508190700142546,size_high
24,328,9,1,1,4,1,355.0,158.0,150.0,100.0,0.75,2.508190700142546,baseline
24,329,9,0,1,4,0,465.0,158.0,150.0,100.0,0.75,2.508190700142546,baseline
24,330,4,1,1,4,1,354.0,161.0,150.0,500.0,0.75,2.508190700142546,dur_high
24,331,5,1,1,1,1,590.0,374.0,150.0,100.0,0.9,2.508190700142546,noise_high
24,332,9,1,1,4,1,413.0,448.0,150.0,100.0,0.75,2.508190700142546,baseline
24,333,8,0,0,4,1,599.0,264.0,150.0,100.0,0.75,5.016381400285092,tilt_high
