subj_no,stim_cond,percept_acc,d-prime,c,beta,conf,c_conf,ic_conf,percept_rt,conf_rt,threshold
5,15.0,0.63,0.9926084308682279,-0.9087673448755189,0.4057369936350755,2.28,2.3968253968253967,2.081081081081081,436.69,508.92,2.921709725415934
6,0.0,0.94,3.1557576315618023,-0.17280725547126818,0.5796459370288741,3.26,3.3191489361702127,2.3333333333333335,894.5,385.93,2.629283764614483
6,1.0,0.83,1.9471800062547748,-0.20139678893870266,0.6755988469565836,2.66,2.8674698795180724,1.6470588235294117,1090.38,502.06,2.629283764614483
6,2.0,0.92,2.925672863318259,-0.28784963959303955,0.4307816717568777,2.96,3.0652173913043477,1.75,910.53,457.52,2.629283764614483
6,3.0,0.81,1.9294720730176738,-0.440335523800796,0.42757947736014806,2.61,2.876543209876543,1.4736842105263157,1021.04,443.73,2.629283764614483
6,4.0,0.87,2.2760094487543534,0.1435468411674236,1.3864048626909538,3.2,3.3333333333333335,2.3076923076923075,823.33,363.28,2.629283764614483
6,5.0,0.76,1.4397656005508548,0.19548228756738667,1.3250479840456195,2.88,3.1184210526315788,2.125,899.33,386.16,2.629283764614483
6,6.0,0.76,1.533445585317284,0.4082639994074482,1.8702098195410268,2.93,3.210526315789474,2.0416666666666665,831.28,408.93,2.629283764614483
6,7.0,0.7,1.0558085348343218,0.11544113797575603,1.1296227627864626,2.61,2.7714285714285714,2.2333333333333334,1013.87,430.62,2.629283764614483
6,8.0,0.93,3.228735702697913,0.4393810592828664,4.131519732242818,3.11,3.225806451612903,1.5714285714285714,844.82,386.11,2.629283764614483
6,9.0,0.86,2.1969166533874143,0.1830932388508933,1.4951710059532521,2.55,2.7674418604651163,1.2142857142857142,1132.07,439.73,2.629283764614483
6,10.0,0.77,1.518858395917794,0.23502868525085624,1.4290005614928694,2.71,3.051948051948052,1.565217391304348,895.58,404.82,2.629283764614483
6,11.0,0.68,1.1248332086013564,0.6125701877654119,1.9918010701591757,2.41,2.6323529411764706,1.9375,1005.36,440.3,2.629283764614483
6,12.0,0.86,2.326966808785538,-0.39129019020408434,0.4023152534204892,2.93,3.0813953488372094,2.0,857.49,447.2,2.629283764614483
6,13.0,0.72,1.2208458759422112,-0.3049421498717082,0.6891561739639063,2.63,2.8194444444444446,2.142857142857143,1011.22,404.5,2.629283764614483
6,14.0,0.69,1.0018041986441109,-0.1424433060708616,0.8670138722072653,2.72,2.7971014492753623,2.5483870967741935,928.21,459.21,2.629283764614483
6,15.0,0.61,0.5745540961727743,-0.2371234646216535,0.8726329503432855,2.37,2.622950819672131,1.9743589743589745,1005.02,472.79,2.629283764614483
7,0.0,0.9,2.7451439544619225,-0.37811409402120805,0.35417022519272395,2.55,2.533333333333333,2.7,1324.66,594.5,2.8196115125237258
7,1.0,0.72,1.3819852860560702,-0.5905589225165653,0.442133351815478,2.41,2.4305555555555554,2.357142857142857,1978.12,616.68,2.8196115125237258
7,2.0,0.86,2.909189381312057,-0.8717531833848122,0.07917496693093362,2.52,2.5232558139534884,2.5,1625.12,807.52,2.8196115125237258
7,3.0,0.7,1.4543398740853837,-0.8276036575541617,0.3001067605536582,2.5,2.4,2.7333333333333334,707.86,986.36,2.8196115125237258
7,4.0,0.65,1.5860501115173142,-1.2607238548731654,0.13539332601277315,2.22,2.3692307692307693,1.9428571428571428,1075.62,609.25,2.8196115125237258
7,5.0,0.64,1.2829872721376607,-1.1091924351833389,0.24097073685753653,2.39,2.421875,2.3333333333333335,2216.67,780.65,2.8196115125237258
7,6.0,0.63,1.2262855585441286,-1.137543291980105,0.24784470680873927,2.39,2.4603174603174605,2.27027027027027,1403.19,600.35,2.8196115125237258
7,7.0,0.6,1.0443835084120818,-1.2284943170461284,0.2771991148367957,2.34,2.35,2.325,910.99,584.12,2.8196115125237258
7,8.0,0.78,2.004033174387969,-0.7486694840581848,0.22305018618065683,2.62,2.628205128205128,2.590909090909091,968.17,680.29,2.8196115125237258
7,9.0,0.71,1.4050715603096329,-0.7025357801548164,0.3726509662301445,2.49,2.563380281690141,2.310344827586207,1399.64,595.54,2.8196115125237258
7,10.0,0.68,1.1811178450331306,-0.6909926430280351,0.442133351815478,2.43,2.485294117647059,2.3125,929.68,569.51,2.8196115125237258
7,11.0,0.63,1.0870747954823452,-1.011236196855681,0.333107711987586,2.29,2.3492063492063493,2.189189189189189,1051.7,604.75,2.8196115125237258
7,12.0,0.71,1.6502523507406994,-0.9255598958818195,0.21709778736446164,2.32,2.380281690140845,2.1724137931034484,711.6,574.56,2.8196115125237258
7,13.0,0.57,0.4476662887283054,-0.6915319434786611,0.7337583421727294,2.35,2.456140350877193,2.2093023255813953,3012.55,556.36,2.8196115125237258
7,14.0,0.63,0.7925644040679024,-0.5981756811758019,0.6224495162789379,2.12,2.2063492063492065,1.972972972972973,1491.19,1074.08,2.8196115125237258
7,15.0,0.67,0.9944578832097531,-0.4972289416048766,0.6098920890022491,2.2,2.1791044776119404,2.242424242424242,965.4,1048.02,2.8196115125237258
8,0.0,0.93,2.9598451549064864,-0.07485101714361031,0.8012779243014121,2.54,2.5483870967741935,2.4285714285714284,552.06,290.78,2.986797195545336
8,1.0,0.8,1.6875583020314988,0.0715859368270646,1.128405350722445,2.41,2.4125,2.4,590.23,324.68,2.986797195545336
8,2.0,0.81,1.7866219036550433,0.18700838898743422,1.3967013584347174,2.53,2.5308641975308643,2.526315789473684,582.36,337.63,2.986797195545336
8,3.0,0.67,0.8883222953706136,0.1386803595859094,1.1311025390904503,2.35,2.417910447761194,2.212121212121212,599.24,305.92,2.986797195545336
8,4.0,0.83,2.04841696570255,-0.38086307745835796,0.45832974371472734,2.34,2.397590361445783,2.0588235294117645,591.25,288.38,2.986797195545336
8,5.0,0.62,0.6906520180761369,-0.49629522453484587,0.7098033647319706,2.27,2.3225806451612905,2.1842105263157894,606.5,320.05,2.986797195545336
8,6.0,0.65,1.0282044624088007,-0.7674493343402,0.45425578784716697,2.22,2.292307692307692,2.085714285714286,645.91,315.32,2.986797195545336
8,7.0,0.58,0.4667124260892874,-0.5388370011440411,0.7776475141842798,2.26,2.2586206896551726,2.261904761904762,599.13,333.73,2.986797195545336
8,8.0,0.76,1.4621566823242613,-0.2633795420476225,0.680381126692428,2.31,2.3815789473684212,2.0833333333333335,507.25,295.7,2.986797195545336
8,9.0,0.76,1.4155386195816018,-0.06442390439788392,0.9128401236765824,2.4,2.4210526315789473,2.3333333333333335,573.97,277.94,2.986797195545336
8,10.0,0.63,0.7063025628400874,-0.3531512814200437,0.7792435363019227,2.09,2.1746031746031744,1.945945945945946,508.52,304.12,2.986797195545336
8,11.0,0.54,0.23088227595151206,-0.5279042674171609,0.8852512829444765,1.99,2.0185185185185186,1.9565217391304348,485.62,278.21,2.986797195545336
8,12.0,0.77,1.7105523484090304,-0.5497953861051177,0.39045061301748213,2.29,2.311688311688312,2.217391304347826,591.31,267.91,2.986797195545336
8,13.0,0.59,0.5819947537683483,-0.703460506325579,0.6640417040560226,2.31,2.3389830508474576,2.268292682926829,543.71,268.03,2.986797195545336
8,14.0,0.58,0.5559188281069152,-0.8023599267614983,0.640153690401608,1.88,1.9827586206896552,1.7380952380952381,524.6,268.94,2.986797195545336
8,15.0,0.58,0.5921452847948739,-0.8789141496686532,0.5942561227533316,1.94,2.0172413793103448,1.8333333333333333,519.34,291.09,2.986797195545336
9,0.0,0.92,3.134068251446778,-0.48671478490843334,0.21753460125176244,3.73,3.7934782608695654,3.0,667.38,291.21,3.148750865888699
9,1.0,0.78,1.7635303535608267,-0.5233063835292195,0.39737824584586934,3.6,3.6923076923076925,3.272727272727273,721.76,273.49,3.148750865888699
9,2.0,0.85,2.090351879908904,-0.12981085211163806,0.7623493538477231,3.64,3.7058823529411766,3.2666666666666666,571.21,264.2,3.148750865888699
9,3.0,0.72,1.247804986345553,-0.3705553900369767,0.6297824331768225,3.38,3.5,3.0714285714285716,893.44,333.78,3.148750865888699
9,4.0,0.85,2.636590417903039,-0.7354537016803031,0.143834753617584,3.54,3.6470588235294117,2.933333333333333,709.86,269.94,3.148750865888699
9,5.0,0.72,1.5547735945968535,-0.7773867972984267,0.2985969927098058,3.31,3.388888888888889,3.107142857142857,769.47,343.73,3.148750865888699
9,6.0,0.77,2.2047181261285997,-0.9513898475675227,0.12275725110093204,3.29,3.4025974025974026,2.9130434782608696,816.51,376.32,3.148750865888699
9,7.0,0.68,1.1811178450331306,-0.6909926430280351,0.442133351815478,3.35,3.3970588235294117,3.25,791.21,278.84,3.148750865888699
9,8.0,0.87,2.396394828169768,-0.35657618051196965,0.42549702837849757,3.81,3.9195402298850577,3.076923076923077,729.91,231.96,3.148750865888699
9,9.0,0.77,1.518858395917794,-0.23502868525085613,0.6997897880147125,3.72,3.74025974025974,3.652173913043478,743.32,245.94,3.148750865888699
9,10.0,0.73,1.2261869126641332,-0.03025194906085038,0.9635850298390874,3.3,3.4794520547945207,2.814814814814815,789.5,316.18,3.148750865888699
9,11.0,0.6,0.5244005127080407,-0.26220025635402033,0.8715361376342731,3.28,3.35,3.175,870.39,311.04,3.148750865888699
9,12.0,0.83,1.9878541283846878,-0.2876245013522565,0.5645335000919438,3.56,3.6265060240963853,3.235294117647059,680.75,263.63,3.148750865888699
9,13.0,0.68,1.0446114666744868,-0.47215214987250975,0.6106596273353808,3.42,3.5294117647058822,3.1875,703.44,296.25,3.148750865888699
9,14.0,0.7,1.1454270987065305,-0.42174433385648796,0.6168820818083595,2.98,3.1,2.7,894.33,486.08,3.148750865888699
9,15.0,0.64,0.9216396889302905,-0.7141669476009449,0.5177801211248857,2.97,3.03125,2.861111111111111,749.24,345.69,3.148750865888699
10,0.0,0.99,4.380096784672663,0.13629948170450912,1.8166695761686236,3.92,3.919191919191919,4.0,730.52,159.79,3.070305079743738
10,1.0,0.89,2.485390901124589,-0.16237610974733852,0.6679325352196298,3.51,3.6179775280898876,2.6363636363636362,1138.46,174.9,3.070305079743738
10,2.0,0.98,4.07703394529301,0.28783090139433576,3.2332775867750136,3.78,3.836734693877551,1.0,839.51,158.46,3.070305079743738
10,3.0,0.89,2.485390901124589,-0.16237610974733852,0.6679325352196298,3.14,3.247191011235955,2.272727272727273,1244.47,177.26,3.070305079743738
10,4.0,0.95,3.305459665849023,0.0979562383276581,1.3823575274392,3.03,3.0842105263157893,2.0,980.58,160.78,3.070305079743738
10,5.0,0.88,2.361870906359556,-0.10061611236482226,0.7884847064603236,2.4,2.4545454545454546,2.0,1286.94,223.46,3.070305079743738
10,6.0,0.89,2.4565383576106905,-0.053282386739255116,0.8773140746699368,2.55,2.595505617977528,2.1818181818181817,1111.73,171.87,3.070305079743738
10,7.0,0.76,1.4155386195816018,-0.06442390439788392,0.9128401236765824,2.42,2.5,2.1666666666666665,1314.06,162.68,3.070305079743738
10,8.0,0.97,3.8044349818839924,0.15153141968982686,1.7797829771520886,3.7,3.752577319587629,2.0,914.53,156.67,3.070305079743738
10,9.0,0.91,2.7297603866629436,-0.18989340126538168,0.5954942866359619,3.16,3.197802197802198,2.7777777777777777,1211.24,204.94,3.070305079743738
10,10.0,0.75,1.3496479682330045,-0.03147857872358523,0.958404841660994,2.31,2.533333333333333,1.64,1153.46,228.36,3.070305079743738
10,11.0,0.75,1.355034721459901,0.0946758534587343,1.1368815921094282,2.0,2.1866666666666665,1.44,1514.78,127.16,3.070305079743738
10,12.0,0.91,2.6866231258542332,0.06175999738251625,1.1804855503872915,2.47,2.5384615384615383,1.7777777777777777,1183.17,194.54,3.070305079743738
10,13.0,0.7,1.094968336708714,0.2941370652185572,1.3799824380904808,2.33,2.4,2.1666666666666665,1321.9,211.05,3.070305079743738
10,14.0,0.6,0.5094280087479712,0.1037447888772082,1.0542720209518794,1.79,1.95,1.55,1245.77,195.02,3.070305079743738
10,15.0,0.58,0.4037869582837016,6.938893903907228e-17,1.0,1.71,1.8103448275862069,1.5714285714285714,1252.82,142.52,3.070305079743738
11,0.0,0.98,4.107497821263646,2.220446049250313e-16,1.0000000000000009,3.64,3.663265306122449,2.5,598.39,407.35,4.011853780603274
11,1.0,0.9,2.580058352375723,-0.11504238412177137,0.7431806974529331,3.13,3.2333333333333334,2.2,816.32,465.56,4.011853780603274
11,2.0,0.93,2.9598451549064864,0.07485101714361031,1.2480064278219598,3.44,3.5161290322580645,2.4285714285714284,665.65,484.25,4.011853780603274
11,3.0,0.86,2.1969166533874143,0.1830932388508933,1.4951710059532521,2.93,3.046511627906977,2.2142857142857144,829.39,518.86,4.011853780603274
11,4.0,0.96,3.501372142504339,2.220446049250313e-16,1.0000000000000009,3.41,3.4479166666666665,2.5,616.4,431.02,4.011853780603274
11,5.0,0.85,2.074777224024709,0.04293072880260135,1.093159031194042,2.81,2.988235294117647,1.8,827.86,485.4,4.011853780603274
11,6.0,0.92,2.92567286331826,0.2878496395930398,2.3213615285015554,3.12,3.217391304347826,2.0,667.27,495.19,4.011853780603274
11,7.0,0.73,1.2738238810940077,0.2784531472958101,1.4257532474867687,2.78,2.9726027397260273,2.259259259259259,955.34,516.44,4.011853780603274
11,8.0,0.9,2.6350929354118096,0.23722712689094883,1.868461801178153,3.33,3.4444444444444446,2.3,835.6,421.24,4.011853780603274
11,9.0,0.87,2.396394828169768,0.3565761805119696,2.3501926765760106,2.57,2.632183908045977,2.1538461538461537,861.13,497.38,4.011853780603274
11,10.0,0.86,2.909189381312057,0.8717531833848122,12.630254722712117,2.85,2.9651162790697674,2.142857142857143,684.62,487.94,4.011853780603274
11,11.0,0.68,1.1248332086013564,0.6125701877654119,1.9918010701591757,2.31,2.5,1.90625,839.34,502.19,4.011853780603274
11,12.0,0.83,2.7388110034822457,0.9569423722997179,13.747875443206965,3.03,3.253012048192771,1.9411764705882353,720.22,484.55,4.011853780603274
11,13.0,0.62,1.0303730818888126,1.0395870536524472,2.918770647101872,2.62,2.903225806451613,2.1578947368421053,769.72,513.04,4.011853780603274
11,14.0,0.66,1.024017576569313,0.6629780037814337,1.9717098860515685,2.63,2.984848484848485,1.9411764705882353,827.14,503.18,4.011853780603274
